CropdamageID,latitude,longitude, provname,munname,bgyname,farmloc,ownername,farmarea,farmname,farmername,farmeraddress,flevel,flood,submergeddays,wind,exposure,ctype,ecosystem,variety,sclass,stage,yieldbefore,yieldafter,partially,totally,remarks,photo1,photo2,surveyedby,datesurvey,timesurvey,
dmg_14.652090121.058651,14.65209,121.058651,Kalinga,Tabuk City,Lacnog,loc1,advincula domingo,1,,advincula domingo,loc1,1-2,TRUE,1-2,FALSE,,Rice,Irrigated-Inbred,null,Registered-Seed,Seedling,1,0.5,0,0.5,samole1,,,phivolcs_chay,8/17/2018,13:45:09, 
dmg_14.652093121.058639,14.652093,121.058639,Kalinga,Tabuk City,Lacnog,loc2,advincula domingo,1,,advincula domingo,loc2,1-2,TRUE,1-2,FALSE,,Rice,Irrigated-Inbred,null,Certified-Seed,Seedling,1.5,0.5,0.75,0,sample2,,,phivolcs_chay,8/17/2018,13:48:31, 
dmg_14.652094121.058653,14.652094,121.058653,Kalinga,Tabuk City,Lacnog,loc 4,advincula domingo,1,,advincula domingo,loc 4,1-2,TRUE,1-2,FALSE,,Rice,Rainfed,null,null,Stem-Elongation,1,0.6,1,0,sample3,,,phivolcs_chay,8/17/2018,13:52:10, 
dmg_14.652104121.058618,14.652104,121.058618,Kalinga,Tabuk City,Lacnog,loc3,advincula domingo,1,,advincula domingo,loc3,1-2,TRUE,1-2,FALSE,,Rice,Rainfed,null,null,Tillering,1.5,0.4,0.7,0,sample3,,,phivolcs_chay,8/17/2018,13:50:39, 
dmg_14.652114121.058619,14.652114,121.058619,Kalinga,Tabuk City,Lacnog,loc 2,Agurin Joey,2,,Agurin Joey,loc 2,1-2,TRUE,1-2,FALSE,,Rice,Rainfed,null,null,Tillering,2,1,0,1,samole2,,,phivolcs_chay,8/17/2018,14:50:39,
dmg_14.652124121.0586105,14.652124,121.0586105,Kalinga,Tabuk City,Lacnog,loc 1,Agurin Joey,3,,Agurin Joey,loc 1,1-2,TRUE,1-2,FALSE,,Rice,Upland,null,null,Heading,3,1,2,0,sample2,,,phivolcs_chay,8/17/2018,15:50:39,
dmg_14.652134121.058602,14.652134,121.058602,Kalinga,Tabuk City,Lacnog,loc 0,Agurin Joey,1,,Agurin Joey,loc 0,3-4,TRUE,3-4,FALSE,,Rice,Upland,null,null,Flowering,1,0.4,0.6,0,sample3,,,phivolcs_chay,8/17/2018,16:50:39,
dmg_14.652144121.0585935,14.652144,121.0585935,Kalinga,Tabuk City,Lacnog,loc 1,Agurin Joey,2,,Agurin Joey,loc 1,3-4,TRUE,3-4,FALSE,,Rice,Upland,null,null,Milking,2,0.5,1.5,0,sample3,,,phivolcs_chay,8/17/2018,17:50:39,
dmg_14.652154121.058585,14.652154,121.058585,Kalinga,Tabuk City,Lacnog,loc 2,Alwiyao Junleo,3,,Alwiyao Junleo,loc 2,3-4,TRUE,3-4,FALSE,,Rice,Upland,null,null,Dough,3,1,2,0,samole3,,,phivolcs_chay,8/17/2018,18:50:39,
dmg_14.652164121.0585765,14.652164,121.0585765,Kalinga,Tabuk City,Lacnog,loc 3,Alwiyao Junleo,1,,Alwiyao Junleo,loc 3,3-4,TRUE,3-4,FALSE,,Rice,Irrigated-Hybrid,null,null,Ripening,1,0.2,0.8,0,sample2,,,phivolcs_chay,8/17/2018,19:50:39,
dmg_14.652174121.058568,14.652174,121.058568,Kalinga,Tabuk City,Agbannawag,loc 4,Alwiyao Junleo,2,,Alwiyao Junleo,loc 4,3-4,TRUE,3-4,FALSE,,Rice,Irrigated-Hybrid,null,null,Heading,2,1,1,0,sample3,,,phivolcs_chay,8/17/2018,20:50:39,
dmg_14.652184121.0585595,14.652184,121.0585595,Kalinga,Tabuk City,Agbannawag,loc 5,Alwiyao Junleo,3,,Alwiyao Junleo,loc 5,3-4,TRUE,3-4,FALSE,,Rice,Irrigated-Hybrid,null,null,Flowering,3,1.5,1.5,0,sample3,,,phivolcs_chay,8/17/2018,21:50:39,
dmg_14.652194121.058551,14.652194,121.058551,Kalinga,Tabuk City,Agbannawag,loc 6,Andalet Demetrio,1,,Andalet Demetrio,loc 6,3-4,TRUE,3-4,FALSE,,Rice,Irrigated-Inbred,null,Registered-Seed,Milking,1,0.5,0.5,0,samole4,,,phivolcs_chay,8/17/2018,22:50:39,
dmg_14.652204121.0585425,14.652204,121.0585425,Kalinga,Tabuk City,Agbannawag,loc 7,Andalet Demetrio,2,,Andalet Demetrio,loc 7,>=9,TRUE,7,FALSE,,Rice,Irrigated-Inbred,null,Good-Seed,Dough,1,0.5,0,0.5,sample2,,,phivolcs_chay,8/17/2018,23:50:39,
dmg_14.652214121.058534,14.652214,121.058534,Kalinga,Tabuk City,Agbannawag,loc 8,Andalet Demetrio,3,,Andalet Demetrio,loc 8,>=9,TRUE,7,FALSE,,Corn,Upland,BT-Corn,Certified-Seed,Emergence,1.5,0.5,0.75,0,sample3,,,phivolcs_chay,8/17/2018,0:50:39,
dmg_14.652224121.0585255,14.652224,121.0585255,Kalinga,Tabuk City,Agbannawag,loc 9,Amigable Fred,1,,Amigable Fred,loc 9,>=9,TRUE,7,FALSE,,Corn,Upland,BT-Corn,Good-Seed,Emergence,1,0.6,0,1,sample3,,,phivolcs_chay,8/17/2018,1:50:39,
dmg_14.652234121.058517,14.652234,121.058517,Kalinga,Tabuk City,Agbannawag,loc 10,Amigable Fred,2,,Amigable Fred,loc 10,>=9,TRUE,7,FALSE,,Corn,Upland,GT-Corn,Good-Seed,Third-Leaf-Collar,1.5,0.4,0,0.7,samole5,,,phivolcs_chay,8/17/2018,2:50:39,
dmg_14.652244121.0585085,14.652244,121.0585085,Kalinga,Tabuk City,Agbannawag,loc 11,Amigable Fred,3,,Amigable Fred,loc 11,,FALSE,,TRUE,<=12,Corn,Upland,GT-Corn,Registered-Seed,Third-Leaf-Collar,2,1,1,0,sample2,,,phivolcs_chay,8/17/2018,3:50:39,
dmg_14.652254121.0585,14.652254,121.0585,Kalinga,Tabuk City,Agbannawag,loc 12,Almora Jaime,1,,Almora Jaime,loc 12,,FALSE,,TRUE,<=12,Corn,Upland,GT-Corn,Registered-Seed,Tasseling,3,1,2,0,sample3,,,phivolcs_chay,8/17/2018,4:50:39,
dmg_14.652264121.0584915,14.652264,121.0584915,Kalinga,Tabuk City,Agbannawag,loc 13,Almora Jaime,2,,Almora Jaime,loc 13,,FALSE,,TRUE,>12,Corn,Upland,Hybrid,Registered-Seed,Silking,1,0.4,0.6,0,sample3,,,phivolcs_chay,8/17/2018,5:50:39,
dmg_14.652274121.058483,14.652274,121.058483,Kalinga,Tabuk City,Bulo,loc 14,Almora Jaime,3,,Almora Jaime,loc 14,,FALSE,,TRUE,<=12,Corn,Upland,Flint,Good-Seed,Blister,2,0.5,1.5,0,samole6,,,phivolcs_chay,8/17/2018,6:50:39,
dmg_14.652284121.0584745,14.652284,121.0584745,Kalinga,Tabuk City,Bulo,loc 15,Amigable Fred,1,,Amigable Fred,loc 15,,FALSE,,TRUE,<=12,Corn,Lowland,Glutinous,Good-Seed,Milking,3,1,2,0,sample2,,,phivolcs_chay,8/17/2018,7:50:39,
dmg_14.652294121.058466,14.652294,121.058466,Kalinga,Tabuk City,Bulo,loc 16,Amigable Fred,2,,Amigable Fred,loc 16,,FALSE,,TRUE,<=12,Corn,Lowland,Sweet-Corn,Good-Seed,Dough,1,0.2,0.8,0,sample3,,,phivolcs_chay,8/17/2018,8:50:39,
dmg_14.652304121.0584575,14.652304,121.0584575,Kalinga,Tabuk City,Bulo,loc 17,Amigable Fred,3,,Amigable Fred,loc 17,,FALSE,,TRUE,>12,Corn,Lowland,Flint,Certified-Seed,Silking,2,1,1,0,sample3,,,phivolcs_chay,8/17/2018,9:50:39,
dmg_14.652314121.058449,14.652314,121.058449,Kalinga,Tabuk City,Bulo,loc 18,Amigable Fred,1,,Amigable Fred,loc 18,,FALSE,,TRUE,<=12,Corn,Lowland,Glutinous,Certified-Seed,Blister,3,1.5,1.5,0,samole7,,,phivolcs_chay,8/17/2018,10:50:39,
